SA2011;MDM_rank;MDM_PC_inc;MDM_PC_emp
N00000267;4339;7;8
N00000268;3771;10;12
N00000269;3676;9;10
N00000270;3238;10;8
N00000271;3211;16;9
N00000272;3353;6;13
N00000273;3945;12;5
N00000274;3445;13;8
N00000275;3100;11;19
N00000276;3333;11;10
N00000277;4191;7;10
N00000278;2449;17;16
N00000279;911;26;20
N00000280;1189;15;30
N00000281;3710;9;11
N00000282;3650;10;12
N00000283;3819;10;10
N00000284;1726;17;21
N00000285;1086;15;32
N00000286;1769;12;25
N00000287;386;23;40
N00000288;2542;14;16
N00000289;2608;13;14
N00000290;897;14;30
N00000291;1464;19;18
N00000292;2792;16;11
N00000293;4098;9;9
N00000294;3245;12;9
N00000295;3593;11;14
N00000296;3774;9;12
N00000297;3429;9;17
N00000298;3288;9;15
N00000299;2632;14;18
N00000300;908;20;32
N00000301;4017;9;9
N00000302;3001;18;12
N00000303;3866;9;11
N00000304;3716;13;9
N00000305;3839;12;11
N00000306;4239;8;9
N00000307;3933;9;9
N00000308;4247;5;10
N00000309;3908;11;10
N00000310;2991;7;14
N00000311;809;18;33
N00000312;1347;16;27
N00000313;2749;13;17
N00000314;1661;9;31
N00000315;910;15;37
N00000316;2619;9;22
N00000317;863;13;43
N00000318;2066;9;25
N00000319;1322;17;24
N00000320;802;24;27
N00000321;1628;13;26
N00000322;1212;12;32
N00000323;2248;16;16
N00000324;3276;8;15
N00000325;2884;11;15
N00000326;1582;14;25
N00000327;481;25;26
N00000328;661;20;32
N00000329;1198;15;28
N00000330;3461;7;11
N00000331;1266;18;31
N00000332;195;25;41
N00000333;309;16;45
N00000334;493;22;33
N00000335;3920;10;11
N00000336;3038;13;19
N00000337;4110;11;8
N00000338;4269;4;9
N00000339;4048;9;9
N00000340;4003;5;10
N00000341;4418;5;7
N00000342;4075;8;13
N00000343;4173;8;11
N00000344;1482;13;28
N00000345;1217;17;27
N00000346;3120;13;15
N00000347;1394;12;25
N00000348;2711;12;19
N00000349;2866;8;23
N00000350;2429;12;22
N00000351;1655;19;14
N00000352;3033;12;14
N00000353;2999;11;14
N00000354;2417;16;13
N00000355;1852;18;16
N00000356;454;20;39
N00000357;1239;17;26
N00000358;371;24;38
N00000359;205;24;42
N00000360;2734;15;12
N00000361;1563;16;23
N00000362;2611;14;13
N00000363;2256;16;19
N00000364;1046;21;22
N00000365;365;30;28
N00000366;2244;15;17
N00000367;1493;20;17
N00000368;1307;20;18
N00000369;2150;15;15
N00000370;2623;13;16
N00000371;3114;12;14
N00000372;2764;13;14
N00000373;3830;9;13
N00000374;4165;8;9
N00000375;3063;6;22
N00000376;3199;13;11
N00000377;3780;8;15
N00000378;618;14;44
N00000379;3797;12;11
N00000380;1431;21;15
N00000381;1130;20;26
N00000382;1816;17;19
N00000383;871;22;20
N00000384;1435;21;17
N00000385;2317;15;16
N00000386;1258;17;27
N00000387;1236;18;26
N00000388;1632;16;26
N00000389;3098;14;13
N00000390;3469;11;12
N00000391;2987;13;12
N00000392;2997;12;13
N00000393;3237;10;13
N00000394;3345;8;14
N00000395;3381;6;12
N00000396;3027;14;9
N00000397;3291;10;14
N00000398;3287;12;11
N00000399;3028;12;14
N00000400;783;19;37
N00000401;1410;18;28
N00000402;651;26;20
N00000403;1668;20;19
N00000404;861;21;32
N00000405;523;24;31
N00000406;1591;20;17
N00000407;1845;16;16
N00000408;2644;14;15
N00000409;2560;8;22
N00000410;2707;15;12
N00000411;1480;18;19
N00000412;2740;11;16
N00000413;2383;15;14
N00000414;1714;19;14
N00000415;2239;11;21
N00000416;2407;14;16
N00000417;2530;15;15
N00000418;2806;10;16
N00000419;3622;11;11
N00000420;3062;8;12
N00000421;2576;16;11
N00000422;2384;8;26
N00000423;2790;13;14
N00000424;2946;13;11
N00000425;2888;14;11
N00000426;1942;15;20
N00000427;2031;14;19
N00000428;2320;13;18
N00000429;1940;19;15
N00000430;3095;10;16
N00000431;1066;23;19
N00000432;1782;14;23
N00000433;836;21;30
N00000434;2069;12;22
N00000435;1316;19;26
N00000436;2053;19;15
N00000437;3492;11;11
N00000438;3653;8;8
N00000439;3014;14;9
N00000440;2544;11;14
N00000441;2678;10;17
N00000442;923;22;27
N00000443;2661;18;13
N00000444;792;22;26
N00000445;4103;11;8
N00000446;4316;7;10
N00000447;3553;6;19
N00000448;359;21;39
N00000449;1820;17;14
N00000450;2653;13;18
N00000451;1964;16;21
N00000452;1406;19;17
N00000453;459;23;32
N00000454;1988;15;18
N00000455;2915;8;17
N00000456;3772;11;11
N00000457;3569;9;15
N00000458;4277;6;7
N00000459;3275;9;19
N00000460;2516;12;18
N00000461;3520;14;10
N00000462;2078;11;27
N00000463;964;21;24
N00000464;1641;20;19
N00000465;689;25;26
N00000466;3596;11;10
N00000467;2906;10;19
N00000468;3683;8;15
N00000469;3323;10;12
N00000470;2137;15;21
N00000471;2773;11;18
N00000472;1359;15;32
N00000473;1207;22;17
N00000474;2627;7;23
N00000475;433;29;32
N00000476;1560;20;18
N00000477;4295;8;8
N00000478;380;28;34
N00000479;4162;10;10
N00000480;3540;4;20
N00000481;2606;18;14
N00000482;913;6;42
N00000483;3837;9;11
N00000484;1893;10;24
N00000485;3427;7;15
N00000486;3923;8;9
N00000487;3551;9;13
N00000488;4235;6;7
N00000489;3758;8;12
N00000490;3191;9;13
N00000491;3826;10;10
N00000492;3428;9;13
N00000493;4454;4;8
N00000494;4156;8;9
N00000495;4159;8;8
N00000496;4193;8;9
N00000497;3259;12;11
N00000498;3821;5;13
N00000499;2662;9;21
N00000500;1205;14;32
N00000501;819;17;36
N00000502;394;16;47
N00000503;424;20;37
N00000504;108;25;45
N00000505;832;21;22
N00000506;4296;7;10
N00000507;362;22;38
N00000508;2511;10;20
N00000509;121;28;41
N00000510;237;23;45
N00000511;4238;3;6
N00000512;4365;7;6
N00000513;3996;6;13
N00000514;4335;8;8
N00000515;4240;3;11
N00000516;4212;6;11
N00000517;4432;4;11
N00000518;3631;11;7
N00000519;4047;9;10
N00000520;3257;9;17
N00000521;2250;16;20
N00000522;3075;10;19
N00000523;3793;13;10
N00000524;4133;10;6
N00000525;2615;11;22
N00000526;2336;9;17
N00000527;1116;14;19
N00000528;327;25;23
N00000529;938;21;27
N00000530;1788;18;21
N00000531;1450;17;21
N00000532;1128;20;23
N00000533;787;9;41
N00000534;2188;18;10
N00000535;3366;12;10
N00000536;2366;16;18
N00000537;3123;10;12
N00000538;3074;14;9
N00000539;3541;8;13
N00000540;3909;7;11
N00000541;3991;7;11
N00000542;3743;6;16
N00000543;3269;12;15
N00000544;1936;13;26
N00000545;2392;7;26
N00000546;1456;12;24
N00000547;1232;15;29
N00000548;1606;13;23
N00000549;558;14;45
N00000550;3692;11;12
N00000551;686;20;27
N00000552;2015;15;19
N00000553;1279;15;25
N00000554;383;19;34
N00000555;522;15;39
N00000556;400;21;35
N00000557;1963;19;13
N00000558;2914;13;16
N00000559;3549;10;10
N00000560;2675;14;11
N00000561;3292;8;11
N00000562;2814;8;16
N00000563;1220;18;31
N00000564;1244;22;19
N00000565;1323;16;27
N00000566;3198;10;22
N00000567;3868;7;11
N00000568;4301;4;8
N00000569;2800;11;17
N00000570;4102;9;12
N00000571;3526;14;6
N00000572;4170;11;7
N00000573;4504;3;6
N00000574;4430;8;7
N00000575;1925;18;16
N00000576;1918;16;18
N00000577;2512;6;17
N00000578;3544;8;13
N00000579;3752;7;14
N00000580;2587;15;14
N00000581;3854;10;8
N00000582;3538;11;10
N00000583;3367;9;13
N00000584;3218;13;10
N00000585;2351;14;10
N00000586;2825;13;10
N00000587;3484;12;8
N00000588;3639;9;12
N00000589;3419;9;14
N00000590;1861;17;16
N00000591;2783;14;12
N00000592;3025;8;16
N00000593;3511;10;10
N00000594;3415;6;9
N00000595;2885;14;14
N00000596;2923;9;15
N00000597;267;24;31
N00000598;1197;17;24
N00000599;240;16;47
N00000600;2649;13;13
N00000601;1757;19;18
N00000602;4174;8;7
N00000603;2601;12;17
N00000604;2864;6;18
N00000605;2397;13;17
N00000606;3280;7;12
N00000607;1201;17;27
N00000608;3306;8;11
N00000609;2607;16;16
N00000610;3564;12;11
N00000611;3349;11;11
N00000612;756;19;29
N00000613;922;15;34
N00000614;568;13;48
N00000615;197;20;52
N00000616;1108;19;29
N00000617;970;19;30
N00000618;1613;20;16
N00000619;4405;6;7
N00000620;3893;9;10
N00000621;2797;14;14
N00000622;2507;15;13
N00000623;2422;13;15
N00000624;3296;9;11
N00000625;2296;11;23
N00000626;2913;14;13
N00000627;1884;17;18
N00000628;3361;9;12
N00000629;1670;21;18
N00000630;760;19;33
N00000631;1742;19;13
N00000632;2759;15;10
N00000633;2486;17;11
N00000634;2181;16;15
N00000635;3184;7;11
N00000636;2684;14;13
N00000637;3645;6;15
N00000638;3307;5;19
N00000639;3690;9;15
N00000640;2229;12;22
N00000641;4094;4;12
N00000642;3869;6;10
N00000643;2302;11;16
N00000644;1417;17;23
N00000645;2051;17;14
N00000646;2391;8;15
N00000647;1027;17;30
N00000648;1961;18;17
N00000649;3312;8;14
N00000650;2628;13;16
N00000651;28;25;57
N00000652;2701;14;18
N00000653;3412;14;13
N00000654;1338;8;43
N00000655;2543;14;20
N00000656;1340;12;40
N00000657;2016;16;16
N00000658;3030;10;13
N00000659;2768;12;12
N00000660;1588;16;25
N00000661;1229;23;19
N00000662;1824;14;23
N00000663;3058;10;13
N00000664;1719;17;16
N00000665;2564;11;17
N00000666;2820;10;12
N00000667;2726;16;8
N00000668;2152;8;24
N00000669;2785;9;17
N00000670;2938;10;20
N00000671;1525;9;37
N00000672;3702;9;14
N00000673;2052;15;22
N00000674;3471;14;13
N00000675;4018;11;10
N00000676;3365;6;19
N00000677;1486;13;33
N00000678;2314;13;17
N00000679;3314;10;14
N00000680;2213;12;23
N00000681;2481;14;17
N00000682;3037;10;8
N00000683;3230;9;16
N00000684;2513;15;12
N00000685;1723;9;29
N00000686;3267;8;11
N00000687;2235;13;21
N00000688;2177;15;14
N00000689;3289;8;13
N00000690;2186;8;24
N00000691;843;20;31
N00000692;211;22;44
N00000693;1752;15;26
N00000694;1479;18;24
N00000695;1848;17;19
N00000696;9;29;57
N00000697;2863;16;17
N00000698;2195;16;24
N00000699;1755;9;32
N00000700;909;17;41
N00000701;851;18;33
N00000702;2373;16;15
N00000703;2334;9;23
N00000704;2531;10;22
N00000705;3494;9;16
N00000706;1795;18;17
N00000707;2878;11;18
N00000708;2840;10;16
N00000709;2754;11;14
N00000710;2693;12;18
N00000711;1849;16;16
N00000712;2035;13;17
N00000713;2444;13;15
N00000714;2202;17;14
N00000715;3175;14;14
N00000716;4222;5;12
N00000717;3785;12;12
N00000718;3689;11;12
N00000719;3220;17;9
N00000720;4441;5;6
N00000721;2089;14;14
N00000722;1725;17;20
N00000723;1378;17;19
N00000724;1461;18;20
N00000725;1397;20;17
N00000726;1413;18;15
N00000727;1083;9;34
N00000728;1283;26;14
N00000729;3116;9;17
N00000730;2953;9;16
N00000731;1872;9;29
N00000732;2715;12;18
N00000733;2591;9;20
N00000734;1995;15;20
N00000735;3034;9;15
N00000736;1862;15;20
N00000737;3115;11;11
N00000738;2416;15;15
N00000739;2070;16;13
N00000740;1389;22;13
N00000741;4105;7;12
N00000742;3364;10;17
N00000743;1079;18;28
N00000744;3470;14;12
N00000745;3687;11;13
N00000746;873;21;29
N00000747;2488;14;17
N00000748;4488;3;9
N00000749;2515;16;16
N00000750;3872;9;10
N00000751;3519;12;11
N00000752;3336;11;18
N00000753;3515;9;11
N00000754;3720;12;7
N00000755;4421;5;9
N00000756;2733;9;19
N00000757;3956;12;9
N00000758;701;18;34
N00000759;3509;9;17
N00000760;858;8;38
N00000761;1998;10;24
N00000762;137;28;46
N00000763;1803;10;25
N00000764;3525;3;16
N00000765;302;23;37
N00000766;2125;7;28
N00000767;3305;10;17
N00000768;574;23;36
N00000769;3747;9;16
N00000770;3678;12;13
N00000771;1151;10;38
N00000772;3026;12;15
N00000773;2337;14;19
N00000774;1381;15;24
N00000775;2297;14;17
N00000776;985;13;37
N00000777;1631;21;14
N00000778;2521;14;12
N00000779;2677;12;16
N00000780;3091;14;13
N00000781;3204;11;13
N00000782;2723;11;14
N00000783;2240;14;19
N00000784;1669;20;13
N00000785;3235;7;13
N00000786;2122;16;17
N00000787;3008;14;9
N00000788;1799;16;12
N00000789;2043;12;21
N00000790;2858;10;16
N00000791;2017;14;22
N00000792;2423;17;14
N00000793;2577;13;16
N00000794;2160;18;14
N00000795;3005;13;13
N00000796;1702;12;26
N00000797;2075;6;27
N00000798;2778;12;16
N00000799;1720;20;14
N00000800;2556;16;15
N00000801;2963;13;11
N00000802;3406;10;14
N00000803;2645;15;13
N00000804;3201;11;16
N00000805;3613;6;13
N00000806;1888;12;27
N00000807;2205;16;19
N00000808;1285;14;29
N00000809;2196;13;19
N00000810;2932;15;15
N00000811;1339;16;28
N00000812;571;25;33
N00000813;2312;14;18
N00000814;2480;14;19
N00000815;4050;10;11
N00000816;3178;9;23
N00000817;3226;5;21
N00000818;3067;14;18
N00000819;1403;12;28
N00000820;590;23;30
N00000821;665;13;44
N00000822;945;14;36
N00000823;2846;10;19
N00000824;209;22;43
N00000825;3372;5;20
N00000826;2553;10;28
N00000827;3904;4;17
N00000828;1491;15;30
N00000829;1549;15;29
N00000830;408;3;56
N00000831;879;16;39
N00000832;1057;7;35
N00000833;381;23;40
N00000834;2381;7;27
