SA2011;MDM_rank;MDM_PC_inc;MDM_PC_emp
N00001177;3326;11;14
N00001178;4146;9;10
N00001179;4438;2;7
N00001180;1561;18;29
N00001181;3966;7;15
N00001182;4364;3;8
N00001183;3875;9;15
N00001184;4462;4;10
N00001185;3973;5;13
N00001186;3838;12;10
N00001187;4189;11;11
N00001188;3332;4;22
N00001189;4305;7;11
N00001190;1620;15;23
N00001191;1710;12;20
N00001192;2469;11;20
N00001193;1036;18;30
N00001194;3107;6;18
N00001195;143;25;45
N00001196;3202;9;17
N00001197;676;16;33
N00001198;3085;13;16
N00001199;1801;11;22
N00001200;3981;4;15
N00001201;4280;7;8
N00001202;51;34;43
N00001203;726;12;48
N00001204;2388;8;27
N00001205;1510;12;31
N00001206;709;11;44
N00001207;3485;8;18
N00001208;1576;14;29
N00001209;1056;12;45
N00001210;1851;10;29
N00001211;1114;17;25
N00001212;1743;16;25
N00001213;290;18;49
N00001214;475;17;40
N00001215;622;20;37
N00001216;3124;7;18
N00001217;903;13;33
N00001218;3301;0;17
N00001219;524;15;37
N00001220;467;15;35
N00001221;98;19;52
N00001222;333;19;34
N00001223;714;14;39
N00001224;504;22;33
N00001225;1190;15;31
N00001226;338;26;40
N00001227;1277;10;30
N00001228;301;9;47
N00001229;1225;12;36
N00001230;1794;18;17
N00001231;1041;6;40
N00001232;3192;2;17
N00001233;3020;9;17
N00001234;1874;11;32
N00001235;883;13;40
N00001236;944;16;29
N00001237;993;11;39
N00001238;1863;7;30
N00001239;3329;4;20
N00001240;490;17;41
N00001241;804;11;40
N00001242;1120;8;35
N00001243;1380;7;32
N00001244;216;21;45
N00001245;754;12;42
N00001246;2352;14;16
N00001247;1033;12;26
N00001248;3371;10;13
N00001249;2967;10;19
N00001250;3125;8;16
N00001251;786;19;29
N00001252;1855;7;36
N00001253;1458;11;31
N00001254;3012;5;22
N00001255;1294;16;28
N00001256;3630;5;16
N00001257;671;18;37
N00001258;551;20;34
N00001259;296;23;41
N00001260;286;24;37
N00001261;720;15;36
N00001262;888;15;34
N00001263;2454;9;23
N00001264;732;11;31
N00001265;1529;11;21
N00001266;293;13;47
N00001267;162;22;39
N00001268;471;17;40
N00001269;2231;14;14
N00001270;1984;9;28
N00001271;1931;14;18
N00001272;2972;12;18
N00001273;1366;13;33
N00001274;846;14;35
N00001275;1353;16;28
N00001276;2055;8;25
N00001277;4446;4;11
N00001278;4129;7;9
N00001279;257;22;50
N00001280;577;18;38
N00001281;4450;8;5
N00001282;3899;12;11
N00001283;4312;10;9
N00001284;4426;3;7
N00001285;4213;6;9
N00001286;3611;13;13
N00001287;3592;9;13
N00001288;4299;8;9
N00001289;3677;7;14
N00001290;4368;6;11
N00001291;2718;10;22
N00001292;3682;8;17
N00001293;4408;4;12
N00001294;3649;5;15
N00001295;3977;8;11
N00001296;1326;12;32
N00001297;3255;10;21
N00001298;114;22;47
N00001299;1930;9;24
N00001300;3836;7;16
N00001301;3416;7;19
N00001302;84;24;44
N00001303;680;13;43
N00001304;2977;9;21
N00001305;3083;6;21
N00001306;87;20;53
N00001307;269;13;53
N00001308;1471;16;19
N00001309;540;19;31
N00001310;2101;10;21
N00001311;281;20;40
N00001312;557;18;33
N00001313;1376;16;25
N00001314;1238;13;33
N00001315;1253;13;37
N00001316;110;29;47
N00001317;1959;10;27
N00001318;957;16;35
N00001319;2393;13;19
N00001320;2909;11;18
N00001321;2654;7;21
N00001322;228;23;45
N00001323;2024;11;27
N00001324;3374;8;13
N00001325;4314;7;8
N00001326;4467;5;8
N00001327;4248;7;7
N00001328;4332;8;6
N00001329;4469;5;10
N00001330;4498;7;7
N00001331;3806;7;8
N00001332;2321;16;15
N00001333;3947;10;6
N00001334;4497;8;5
N00001335;3099;13;13
N00001336;4360;6;6
N00001337;4478;5;8
N00001338;2738;11;22
N00001339;1895;15;20
N00001340;1157;19;30
N00001341;3770;4;15
N00001342;3753;7;15
N00001343;4025;5;17
N00001344;4327;5;11
N00001345;3050;12;17
N00001346;4486;4;6
N00001347;3496;11;15
N00001348;3883;7;11
N00001349;3480;4;11
N00001350;120;17;53
N00001351;423;11;47
N00001352;601;18;32
N00001353;71;13;71
N00001354;47;20;63
N00001355;384;16;44
N00001356;336;14;57
N00001357;7;24;73
N00001358;59;25;48
N00001359;140;24;43
N00001360;694;13;33
N00001361;850;3;30
N00001362;191;6;54
N00001363;3727;11;10
N00001364;3157;12;13
N00001365;4134;5;9
N00001366;4024;12;7
N00001367;1427;10;27
N00001368;4197;6;8
N00001369;3623;12;12
N00001370;3450;10;16
N00001371;4313;9;10
N00001372;4258;7;11
N00001373;4065;9;11
N00001374;4321;8;12
N00001375;3148;6;21
N00001376;3132;6;13
N00001377;4064;8;12
N00001378;3884;11;12
N00001379;3478;4;12
N00001380;3503;7;15
N00001381;3517;11;14
N00001382;4413;4;8
N00001383;4396;6;3
N00001384;3792;9;11
N00001385;4464;3;4
N00001386;1923;10;16
N00001387;2990;9;16
N00001388;2813;6;17
N00001389;2156;17;16
N00001390;4437;6;8
N00001391;4523;6;7
N00001392;3258;7;15
N00001393;4175;9;6
N00001394;4112;6;10
N00001395;4257;7;8
N00001396;3193;11;11
N00001397;2937;5;14
N00001398;3054;9;14
N00001399;4468;7;8
N00001400;4262;12;8
N00001401;2799;15;15
N00001402;4276;10;6
N00001403;4070;8;13
N00001404;2980;10;24
N00001405;2169;12;26
N00001406;2123;16;21
N00001407;3297;4;17
N00001408;4525;5;6
N00001409;4362;3;6
N00001410;4512;6;8
N00001411;4531;3;5
N00001412;2023;11;33
N00001413;4493;9;6
N00001414;4353;4;12
N00001415;662;11;36
N00001416;2585;11;14
N00001417;132;18;53
N00001418;396;14;45
N00001419;959;10;38
N00001420;1021;10;36
N00001421;1099;14;27
N00001422;620;16;34
N00001423;717;7;43
N00001424;533;19;32
N00001425;1223;12;24
N00001426;339;18;40
N00001427;411;9;48
N00001428;784;16;35
N00001429;826;17;31
N00001430;178;24;41
N00001431;841;13;34
N00001432;22;31;48
N00001433;479;16;39
N00001434;426;18;39
N00001435;82;20;55
N00001436;159;19;46
N00001437;21;28;54
N00001438;456;12;40
N00001439;706;15;30
N00001440;625;12;48
N00001441;117;19;48
N00001442;351;16;41
N00001443;19;21;61
N00001444;40;18;64
N00001445;4366;6;8
N00001446;4068;11;12
N00001447;3881;12;11
N00001448;4449;3;9
N00001449;3737;14;11
N00001450;4506;2;7
N00001451;4378;6;9
N00001452;4511;5;7
N00001453;4519;8;6
N00001454;4496;5;6
N00001455;4499;7;9
N00001456;4500;4;10
N00001457;4393;9;8
N00001458;4401;3;8
N00001459;4513;5;7
N00001460;3443;9;17
N00001461;4508;7;7
N00001462;4495;9;5
N00001463;4288;6;8
N00001464;4406;7;6
N00001465;4427;9;7
N00001466;4187;7;8
N00001467;4537;1;1
N00001468;4022;11;4
N00001469;4472;6;3
N00001470;3644;11;4
N00001471;3957;9;2
N00001472;4521;7;4
N00001473;3894;11;5
N00001474;4470;8;7
N00001475;4423;8;7
N00001476;4460;8;3
N00001477;4480;3;5
N00001478;4167;12;4
N00001479;4479;5;4
N00001480;1512;11;34
N00001481;666;6;41
N00001482;2867;9;16
N00001483;2455;11;18
N00001484;1022;13;33
N00001485;2775;7;15
N00001486;4261;6;10
N00001487;2709;13;18
N00001488;1869;18;16
N00001489;3500;7;13
N00001490;2974;8;14
N00001491;3167;5;20
N00001492;735;19;31
N00001493;3263;5;15
N00001494;2382;13;14
N00001495;1941;10;18
N00001496;2218;14;17
N00001497;3018;10;18
N00001498;645;18;29
N00001499;774;16;27
N00001500;636;15;40
N00001501;369;16;39
N00001502;1072;9;25
N00001503;157;17;45
N00001504;382;10;41
N00001505;1126;14;21
N00001506;183;26;32
N00001507;683;11;36
N00001508;495;21;31
N00001509;1107;13;29
N00001510;1665;15;22
N00001511;291;17;36
N00001512;1143;11;23
N00001513;560;18;33
N00001514;3468;6;17
N00001515;4356;6;8
N00001516;4492;4;7
N00001517;4428;8;8
N00001518;4168;8;7
N00001519;1519;15;19
N00001520;962;13;34
N00001521;646;11;44
N00001522;2487;12;20
N00001523;581;9;40
N00001524;418;13;46
N00001525;2019;12;22
N00001526;1296;18;28
N00001527;3183;7;23
N00001528;4420;7;7
N00001529;2436;11;21
N00001530;4532;4;6
N00001531;221;14;51
N00001532;1387;5;33
N00001533;344;15;48
N00001534;607;11;46
N00001535;44;17;57
N00001536;953;4;41
N00001537;200;13;50
N00001538;2460;7;26
N00001539;441;15;45
N00001540;882;7;41
N00001541;142;16;57
N00001542;272;11;50
N00001543;220;15;49
N00001544;319;19;42
N00001545;264;23;38
N00001546;52;23;47
N00001547;584;13;42
N00001548;56;18;55
N00001549;86;20;54
N00001550;147;14;57
N00001551;539;15;42
N00001552;1341;8;38
N00001553;2;32;85
N00001554;48;19;63
N00001555;42;15;66
N00001556;1209;14;33
N00001557;8;37;57
N00001558;126;19;51
N00001559;412;20;45
N00001560;1247;10;33
N00001561;425;23;32
N00001562;104;23;48
N00001563;580;11;49
N00001564;739;13;38
N00001565;308;20;38
N00001566;404;15;43
N00001567;318;20;40
N00001568;2278;13;21
N00001569;529;17;34
N00001570;145;15;53
N00001571;342;13;48
N00001572;174;9;53
N00001573;101;19;49
N00001574;99;13;56
N00001575;310;16;44
N00001576;513;11;42
N00001577;177;17;52
N00001578;370;13;48
N00001579;3781;9;5
N00001580;4294;8;5
N00001581;4342;7;8
N00001582;4514;6;6
N00001583;3221;8;8
N00001584;2527;12;22
N00001585;4308;6;3
N00001586;4244;7;8
N00001587;3614;13;7
N00001588;2818;11;14
N00001589;3571;10;17
N00001590;4143;8;6
N00001591;4071;7;6
N00001592;2010;16;14
N00001593;2837;14;9
N00001594;2038;14;14
N00001595;2622;14;7
N00001596;3044;11;6
N00001597;2546;15;14
N00001598;2620;13;6
N00001599;3302;5;6
N00001600;3293;10;10
N00001601;3078;10;11
N00001602;3354;10;6
N00001603;1686;12;23
N00001604;761;20;27
N00001605;999;10;27
N00001606;1911;15;19
N00001607;669;19;26
N00001608;997;14;22
N00001609;1221;17;20
N00001610;1383;16;30
N00001611;643;18;37
N00001612;604;15;37
N00001613;1173;12;25
N00001614;528;18;31
N00001615;1005;15;28
N00001616;332;22;37
N00001617;2945;7;12
N00001618;798;14;29
N00001619;537;19;33
N00001620;586;15;32
N00001621;505;21;29
N00001622;1386;15;23
N00001623;57;32;41
N00001624;388;17;45
N00001625;146;27;46
N00001626;341;23;44
N00001627;65;34;48
N00001628;419;14;38
N00001629;1178;12;32
N00001630;23;30;53
N00001631;105;19;52
N00001632;520;22;36
N00001633;46;29;50
N00001634;83;18;51
N00001635;969;13;32
N00001636;616;14;40
N00001637;53;26;52
N00001638;13;33;57
N00001639;168;35;36
N00001640;496;15;43
N00001641;1528;14;27
N00001642;4194;5;10
N00001643;3177;13;12
N00001644;4082;10;8
N00001645;1623;7;34
N00001646;2002;14;24
N00001647;3142;6;17
N00001648;2877;14;10
N00001649;4207;5;8
N00001650;3739;9;15
N00001651;4250;6;9
N00001652;3655;9;14
N00001653;3740;13;12
N00001654;3762;10;11
N00001655;3130;11;17
N00001656;4011;5;12
N00001657;3980;8;10
N00001658;3430;8;14
N00001659;4337;8;5
N00001660;4016;5;16
N00001661;3730;10;9
N00001662;3591;4;17
N00001663;3738;6;14
N00001664;3736;4;13
N00001665;4124;8;10
N00001666;4123;3;15
N00001667;3788;6;15
N00001668;3940;3;13
N00001669;4419;5;8
N00001670;515;21;36
N00001671;1351;8;33
N00001672;2022;12;21
N00001673;3436;6;15
N00001674;617;22;30
N00001675;2127;11;24
N00001676;906;14;33
N00001677;4166;6;7
N00001678;3355;10;10
N00001679;3960;7;9
N00001680;3801;10;10
N00001681;2102;12;20
N00001682;3776;4;12
N00001683;956;15;35
N00001684;3295;12;13
N00001685;3994;9;9
N00001686;1929;18;18
N00001687;4062;9;11
N00001688;2567;9;23
N00001689;942;16;32
N00001690;3524;9;14
N00001691;312;21;39
N00001692;1281;20;23
N00001693;4202;4;8
N00001694;4147;6;9
N00001695;4303;3;10
N00001696;4125;8;11
N00001697;3344;10;11
N00001698;3341;4;17
N00001699;4195;10;6
N00001700;740;19;28
N00001701;2826;5;19
N00001702;3862;9;13
N00001703;954;16;36
N00001704;1370;12;32
N00001705;1152;16;28
N00001706;4402;7;7
N00001707;4208;6;9
N00001708;4371;7;8
N00001709;2834;8;19
N00001710;3985;9;8
N00001711;4451;4;6
N00001712;1787;10;30
N00001713;1938;5;34
N00001714;1172;13;33
N00001715;427;16;42
N00001716;3588;6;18
N00001717;3579;6;16
N00001718;3171;7;21
N00001719;592;23;24
N00001720;2744;4;25
N00001721;389;21;35
N00001722;1142;17;28
N00001723;658;22;27
N00001724;461;21;33
N00001725;657;17;33
N00001726;2350;8;21
N00001727;1275;9;31
N00001728;544;20;34
N00001729;2569;6;22
N00001730;1596;16;34
N00001731;639;19;36
N00001732;4104;6;12
N00001733;1392;18;19
N00001734;3346;9;14
N00001735;1520;17;20
N00001736;1432;10;35
N00001737;2720;11;17
N00001738;4113;5;13
N00001739;3080;11;12
N00001740;3490;10;15
N00001741;4114;8;9
N00001742;1251;19;31
N00001743;3071;12;18
N00001744;3895;6;10
N00001745;3694;10;7
N00001746;2534;10;20
N00001747;2961;11;15
N00001748;1600;19;10
N00001749;2850;13;9
N00001750;3897;7;13
N00001751;4278;7;8
N00001752;4090;6;11
N00001753;2272;14;20
N00001754;3642;13;9
N00001755;3715;12;10
N00001756;4290;6;8
N00001757;3439;9;17
N00001758;4087;7;8
N00001759;4392;5;6
N00001760;4154;7;11
N00001761;4343;7;10
N00001762;2098;6;26
N00001763;3787;8;15
N00001764;585;18;34
N00001765;3013;9;23
N00001766;3384;5;14
N00001767;4106;8;7
N00001768;4341;3;12
N00001769;4151;11;9
N00001770;4444;5;4
N00001771;4424;5;7
N00001772;4439;5;3
N00001773;4319;7;6
N00001774;3946;8;13
N00001775;4323;4;8
N00001776;4091;8;8
N00001777;4494;3;7
N00001778;4491;6;7
N00001779;2950;9;13
N00001780;4285;6;9
N00001781;4482;4;8
N00001782;4158;9;10
N00001783;4389;1;7
N00001784;1208;14;35
N00001785;1829;15;20
N00001786;3143;8;13
N00001787;996;18;30
N00001788;2432;9;23
N00001789;3963;9;9
N00001790;3166;7;18
N00001791;4311;8;10
N00001792;4266;6;11
N00001793;4387;7;8
N00001794;2966;10;23
N00001795;3971;9;11
N00001796;3633;12;13
N00001797;4243;7;12
N00001798;4425;7;7
N00001799;3514;8;14
N00001800;4217;4;9
N00001801;4377;6;10
N00001802;4033;8;11
N00001803;4216;3;8
N00001804;4477;7;7
N00001805;4259;8;11
N00001806;2346;8;25
N00001807;3093;9;12
N00001808;1722;9;27
N00001809;2193;11;18
N00001810;1163;14;26
N00001811;1806;3;26
N00001812;91;22;51
N00001813;1418;4;38
N00001814;1733;15;24
N00001815;4233;7;11
N00001816;3567;8;16
N00001817;4118;8;12
N00001818;3921;6;12
N00001819;3917;10;13
N00001820;4127;9;12
N00001821;3161;10;16
N00001822;4196;7;11
N00001823;4461;3;6
N00001824;3225;14;14
N00001825;3987;4;12
N00001826;4255;7;11
N00001827;4404;5;9
N00001828;3865;7;14
N00001829;2827;15;17
N00001830;1681;10;24
N00001831;3863;10;10
N00001832;1978;11;22
N00001833;1843;13;24
N00001834;1404;16;25
N00001835;870;17;24
N00001836;2084;5;26
N00001837;1767;5;29
N00001838;1934;12;25
N00001839;3745;8;13
N00001840;4448;5;7
N00001841;4485;3;9
N00001842;4517;3;10
N00001843;4302;3;13
N00001844;4169;10;14
N00001845;4227;4;10
N00001846;4516;4;5
N00001847;4354;8;7
N00001848;4397;8;12
N00001849;3531;10;15
N00001850;4476;4;8
N00001851;4529;3;7
N00001852;4528;5;7
N00001853;4131;7;9
N00001854;1364;15;26
N00001855;2589;15;12
N00001856;2732;10;21
N00001857;2329;12;24
N00001858;2266;11;19
N00001859;1412;15;29
N00001860;1662;12;29
N00001861;1419;14;24
N00001862;2571;13;16
N00001863;2943;12;19
N00001864;4415;9;10
N00001865;4533;5;7
N00001866;4095;11;10
N00001867;4466;3;9
N00001868;4411;10;6
N00001869;4083;11;9
N00001870;4524;6;7
N00001871;4410;5;7
N00001872;3547;12;9
N00001873;4463;7;6
N00001874;4370;5;7
N00001875;4526;7;5
N00001876;4234;7;11
N00001877;4434;7;8
N00001878;3711;12;11
N00001879;4079;10;10
N00001880;4004;3;11
N00001881;2374;8;24
N00001882;4351;2;9
N00001883;1808;10;27
N00001884;4049;4;12
N00001885;1007;12;43
N00001886;1219;15;31
N00001887;1798;16;20
N00001888;3094;5;21
N00001889;1420;16;30
N00001890;4445;5;10
N00001891;4330;11;7
N00001892;4111;6;11
N00001893;943;9;35
N00001894;2251;6;24
N00001895;1495;5;29
N00001896;1494;13;27
N00001897;2936;7;16
N00001898;2483;10;22
N00001899;485;23;37
N00001900;3643;9;11
N00001901;3934;8;8
N00001902;3918;10;9
N00001903;4163;10;7
N00001904;4206;3;11
N00001905;3160;6;15
N00001906;3339;7;14
N00001907;4144;8;11
N00001908;2138;10;23
N00001909;3460;6;17
N00001910;4352;8;8
N00001911;2525;10;21
N00001912;2955;10;23
N00001913;4182;3;10
N00001914;4394;7;11
N00001915;4489;6;8
N00001916;3848;12;11
N00001917;3814;7;13
N00001918;4440;5;9
N00001919;1734;12;23
N00001920;3818;9;14
N00001921;1460;8;28
N00001922;1263;18;32
N00001923;78;32;50
N00001924;1766;9;23
N00001925;1610;8;29
N00001926;1144;15;31
N00001927;1683;18;19
N00001928;2447;10;21
N00001929;3878;10;12
N00001930;1987;14;16
N00001931;2824;8;19
N00001932;3786;11;14
N00001933;4298;6;11
N00001934;2184;12;23
N00001935;4433;6;6
N00001936;4507;8;6
N00001937;4320;2;13
N00001938;2018;12;22
N00001939;2323;10;24
N00001940;4292;7;10
N00001941;4481;8;8
N00001942;3039;14;12
N00001943;2428;14;14
N00001944;1827;14;20
N00001945;2879;13;12
N00001946;2206;16;13
N00001947;3165;12;14
N00001948;50;35;51
N00001949;3420;12;14
N00001950;27;30;56
N00001951;3835;8;14
N00001952;2079;11;33
N00001953;723;19;38
N00001954;4142;9;10
N00001955;687;25;25
N00001956;37;28;53
N00001957;2805;12;17
N00001958;160;31;45
N00001959;164;27;47
N00001960;36;29;57
N00001961;2300;14;19
N00001962;3147;7;18
N00001963;138;22;50
N00001964;285;21;43
N00001965;3173;13;12
N00001966;3599;11;13
N00001967;1751;20;14
N00001968;588;18;32
N00001969;2657;16;13
N00001970;1732;14;27
N00001971;2519;14;15
N00001972;2183;20;14
N00001973;219;21;46
N00001974;1349;17;18
N00001975;1165;21;27
N00001976;1085;16;29
N00001977;980;16;29
N00001978;1517;14;27
N00001979;1557;15;30
N00001980;749;19;30
N00001981;203;18;56
N00001982;1738;15;24
N00001983;708;21;35
N00001984;2650;11;18
N00001985;619;12;46
N00001986;1648;11;35
N00001987;1444;18;26
N00001988;1265;16;28
N00001989;3103;14;13
N00001990;1226;14;32
N00001991;343;25;35
N00001992;466;19;43
N00001993;465;19;44
N00001994;2466;10;17
N00001995;1369;18;22
N00001996;1268;12;34
N00001997;2682;13;17
N00001998;3079;9;16
N00001999;3915;10;9
N00002000;3823;12;8
N00002001;2631;15;10
N00002002;3324;12;11
N00002003;2140;15;17
N00002004;1758;16;19
N00002005;3840;10;12
N00002006;1791;18;20
N00002007;3784;9;13
N00002008;1542;18;24
N00002009;741;23;32
N00002010;1607;24;12
N00002011;2299;17;12
N00002012;2074;15;17
N00002013;1445;14;28
N00002014;3241;12;15
N00002015;3954;7;12
N00002016;572;22;39
N00002017;3901;10;11
N00002018;2968;15;12
N00002019;2625;11;21
N00002020;3319;13;11
N00002021;2104;14;17
N00002022;2812;14;16
N00002023;3214;14;14
N00002024;3477;10;14
N00002025;1009;17;38
N00002026;773;23;29
N00002027;1299;17;31
N00002028;2757;15;17
N00002029;3385;12;13
N00002030;1060;15;33
N00002031;2364;17;18
N00002032;3701;13;11
N00002033;2823;16;14
N00002034;3903;10;16
N00002035;2907;10;21
N00002036;1933;16;19
N00002037;2762;13;12
N00002038;2220;15;20
N00002039;990;13;33
N00002040;1989;12;23
N00002041;2555;15;16
N00002042;3721;11;13
N00002043;1317;15;32
N00002044;2292;15;19
N00002045;2499;14;21
N00002046;3598;12;16
N00002047;2343;15;22
N00002048;2666;14;17
N00002049;1867;21;17
N00002050;865;15;39
N00002051;1543;15;29
N00002052;2219;12;19
N00002053;605;22;42
N00002054;1684;18;18
N00002055;1135;20;23
N00002056;2874;12;15
N00002057;2890;13;15
N00002058;1575;16;17
N00002059;936;18;36
N00002060;414;23;40
N00002061;2236;16;16
N00002062;877;24;24
N00002063;4473;5;8
N00002064;4120;9;7
N00002065;4535;6;7
N00002066;4203;9;10
N00002067;4265;7;6
N00002068;3423;13;17
N00002069;1781;18;18
N00002070;3234;13;14
N00002071;3705;9;10
N00002072;2134;18;17
N00002073;2045;12;25
N00002074;3021;12;17
N00002075;4044;10;10
N00002076;960;18;36
N00002077;2919;11;18
N00002078;822;21;35
N00002079;1947;15;24
N00002080;611;21;38
N00002081;550;17;38
N00002082;3618;8;9
N00002083;4363;9;12
N00002084;4215;10;9
N00002085;2808;18;13
N00002086;4453;7;7
N00002087;935;18;34
N00002088;1492;21;20
N00002089;4190;11;9
N00002090;1768;12;26
N00002091;1416;14;24
N00002092;596;22;31
N00002093;1711;13;25
N00002094;2128;12;19
N00002095;2380;9;21
N00002096;2989;12;11
N00002097;2182;13;18
N00002098;1507;14;19
N00002099;2473;13;17
N00002100;1195;21;17
N00002101;2303;10;18
N00002102;1029;18;23
N00002103;2341;8;24
N00002104;1612;12;26
N00002105;1735;11;22
N00002106;2712;9;21
N00002107;3045;12;15
N00002108;1064;12;36
N00002109;1693;13;23
N00002110;1199;18;24
N00002111;1472;17;19
N00002112;1985;13;21
N00002113;2348;11;15
N00002114;1953;11;26
N00002115;734;20;30
N00002116;815;15;30
N00002117;1922;17;21
N00002118;2330;14;19
N00002119;1169;6;39
N00002120;1796;16;26
N00002121;1854;14;17
N00002122;2048;11;15
N00002123;2975;7;14
N00002124;2410;11;19
N00002125;2129;14;19
N00002126;2582;11;18
N00002127;1730;18;17
N00002128;2656;10;16
N00002129;1405;14;29
N00002130;2359;13;18
N00002131;2789;13;13
N00002132;1278;19;16
N00002133;2419;15;13
N00002134;2133;16;13
N00002135;1868;16;16
N00002136;1257;11;25
N00002137;1716;10;29
N00002138;1826;15;24
N00002139;2385;16;17
N00002140;2568;17;13
N00002141;1297;12;28
N00002142;181;24;45
N00002143;2046;13;19
N00002144;1889;14;19
N00002145;998;22;22
N00002146;1675;16;20
N00002147;88;31;47
N00002148;3308;8;15
N00002149;2050;18;14
N00002150;2633;14;17
N00002151;2618;11;18
N00002152;961;18;24
N00002153;2643;12;14
N00002154;2599;8;18
N00002155;2495;15;14
N00002156;1846;8;25
N00002157;460;13;48
N00002158;2731;10;16
N00002159;2954;9;14
N00002160;2748;11;17
N00002161;2226;10;19
N00002162;2298;11;20
N00002163;2692;12;18
N00002164;1870;13;24
N00002165;3248;10;16
N00002166;2829;6;19
N00002167;2856;4;20
N00002168;3828;10;13
N00002169;2187;12;20
N00002170;1603;13;30
N00002171;3603;7;17
N00002172;3195;10;16
N00002173;3660;10;9
N00002174;2159;13;18
N00002175;3815;8;12
N00002176;3803;7;13
N00002177;2287;17;14
N00002178;2280;11;20
N00002179;2253;16;18
N00002180;799;20;25
N00002181;3616;12;11
N00002182;3543;8;13
N00002183;803;17;28
N00002184;452;24;30
N00002185;385;24;28
N00002186;482;26;24
N00002187;2225;16;18
N00002188;1080;16;22
N00002189;2076;10;20
N00002190;828;22;21
N00002191;268;24;41
N00002192;2981;9;16
N00002193;885;17;26
N00002194;950;15;33
N00002195;2007;11;23
N00002196;3090;15;12
N00002197;3396;7;13
N00002198;1470;13;30
N00002199;1210;12;33
N00002200;1481;14;29
N00002201;613;16;46
N00002202;2044;13;26
N00002203;4101;7;10
N00002204;3380;13;9
N00002205;4001;12;8
N00002206;4066;5;11
N00002207;2179;10;21
N00002208;1856;12;23
N00002209;2918;7;19
N00002210;3587;10;13
N00002211;1062;20;23
N00002212;2068;18;18
N00002213;2357;14;16
N00002214;3452;9;14
N00002215;1924;16;20
N00002216;1595;17;25
N00002217;2284;12;28
N00002218;2518;11;15
N00002219;2088;12;22
N00002220;2781;15;11
N00002221;1598;12;20
N00002222;242;27;28
N00002223;213;44;29
N00002224;695;19;32
N00002225;376;22;32
N00002226;1025;19;28
N00002227;821;20;29
N00002228;766;23;26
N00002229;2247;12;22
N00002230;261;23;38
N00002231;45;29;49
N00002232;818;18;27
N00002233;1055;18;22
N00002234;972;17;31
N00002235;716;18;38
N00002236;241;19;48
N00002237;1100;15;26
N00002238;500;20;31
N00002239;637;15;40
N00002240;1592;10;33
N00002241;417;22;36
N00002242;1177;12;33
N00002243;1363;9;34
N00002244;2349;8;24
N00002245;428;3;58
N00002246;3684;6;12
N00002247;2659;13;15
N00002248;2988;10;17
N00002249;3794;10;10
N00002250;3648;7;14
N00002251;2928;6;19
N00002252;3084;8;14
N00002253;2149;14;18
N00002254;2841;11;12
N00002255;2894;12;14
N00002256;3338;10;13
N00002257;1979;16;20
N00002258;3491;8;14
N00002259;1090;20;27
N00002260;2978;14;11
N00002261;3882;8;11
N00002262;3421;8;8
N00002263;3327;12;10
N00002264;2333;8;19
N00002265;2065;11;20
N00002266;849;8;39
N00002267;677;20;30
N00002268;823;22;25
N00002269;392;16;35
N00002270;712;16;35
N00002271;247;19;41
N00002272;402;17;43
N00002273;2376;14;17
N00002274;725;16;29
N00002275;553;17;36
N00002276;2230;13;20
N00002277;569;21;29
N00002278;449;12;41
N00002279;624;12;40
N00002280;1335;13;30
N00002281;630;10;40
N00002282;289;14;50
N00002283;660;17;38
N00002284;655;14;45
N00002285;2691;10;17
N00002286;2670;10;22
N00002287;1672;14;28
N00002288;778;17;36
N00002289;2148;11;22
N00002290;2761;12;20
N00002291;1441;18;18
N00002292;2889;15;14
N00002293;1043;11;35
N00002294;3867;3;13
N00002295;3303;7;18
N00002296;3671;9;13
N00002297;4253;7;11
N00002298;2880;7;22
N00002299;3530;11;14
N00002300;4006;9;8
N00002301;3180;9;16
N00002302;4073;11;8
N00002303;3087;12;13
N00002304;812;15;28
N00002305;3542;12;9
N00002306;2717;12;14
N00002307;3853;8;12
N00002308;3925;9;14
N00002309;287;27;39
N00002310;939;19;31
N00002311;2268;14;20
N00002312;1133;16;34
N00002313;2862;15;17
N00002314;3855;8;16
N00002315;4061;11;8
N00002316;2570;9;27
N00002317;3454;5;15
N00002318;3489;5;17
N00002319;3629;12;12
N00002320;1653;17;19
N00002321;3713;5;14
N00002322;4136;5;12
N00002323;3407;12;13
N00002324;4020;4;13
N00002325;3570;8;12
N00002326;2635;10;23
N00002327;3661;11;12
N00002328;4318;4;9
N00002329;2971;7;19
N00002330;3156;14;13
N00002331;3032;16;12
N00002332;3402;11;13
N00002333;2929;16;11
N00002334;2034;10;23
N00002335;4012;9;9
N00002336;1746;15;23
N00002337;1002;14;31
N00002338;733;21;29
N00002339;2025;15;21
N00002340;1744;9;25
N00002341;742;17;25
N00002342;1329;5;36
N00002343;3321;8;17
N00002344;208;29;34
N00002345;1986;9;26
N00002346;2192;17;16
N00002347;2737;13;15
N00002348;899;20;30
N00002349;1772;18;16
N00002350;2354;11;22
N00002351;3197;13;14
N00002352;3376;5;19
N00002353;2370;12;18
N00002354;1467;13;29
N00002355;1452;8;31
N00002356;2402;9;21
N00002357;518;22;37
N00002358;1324;12;27
N00002359;904;15;33
N00002360;3004;7;22
N00002361;1224;15;29
N00002362;326;23;35
N00002363;791;17;35
N00002364;176;23;41
